Business Name, Page Name, Website URL, CTA, Ad Link, Phone Numbers, WhatsApp Links
Dhaqtarka Lafaha Xamar Hospital,Dhaqtarka Lafaha Xamar Hospital,,,https://www.facebook.com/ads/library/ad/?id=1029911532905483,+0615740537,
Hooyo Macaan,Hooyo Macaan,,,https://www.facebook.com/ads/library/ad/?id=958260047268635,+490615740548 / +958260047268635,
Somaliweyn Hospital,Somaliweyn Hospital,,,https://www.facebook.com/ads/library/ad/?id=911083622017819,+0615184387 / +911083622017819,
Lamaane Hospital,Lamaane Hospital,,,https://www.facebook.com/ads/library/ad/?id=1578587420538365,+0615072984,
Dhaqtarka Ragga Xamar Hospital,Dhaqtarka Ragga Xamar Hospital,,,https://www.facebook.com/ads/library/ad/?id=894985889936793,+0615740548 / +894985889936793,
Luna Beauty and Spa,Luna Beauty and Spa,,,https://www.facebook.com/ads/library/ad/?id=1701214637808235,+0613022279,
Asal Microfinance,Asal Microfinance,http://instagram.com/albirri2016,,https://www.facebook.com/ads/library/ad/?id=1328749225393562,,
Albirri Hospital,Albirri Hospital,,,https://www.facebook.com/ads/library/ad/?id=841317042032519,+841317042032519,
Raasimaal Diaspora,Raasimaal Diaspora,,,https://www.facebook.com/ads/library/ad/?id=1906020010023521,+0612922246 / +612922243 / +252612922248,https://wa.me/252612922248
Gashaanti beauty and spa,Gashaanti beauty and spa,,,https://www.facebook.com/ads/library/ad/?id=981413438007520,+981413438007520,
Geeye market,Geeye market,,,https://www.facebook.com/ads/library/ad/?id=26947786238165771,+0618974743 / +252618974743,https://wa.me/252618974743
Tayo Online Store,Tayo Online Store,,,https://www.facebook.com/ads/library/ad/?id=1337385467799946,+211924666306,
Bulsho Discount Travel Agency,Bulsho Discount Travel Agency,https://bulshodiscounttravel.com,,https://www.facebook.com/ads/library/ad/?id=1326127969115414,+252610424533 / +252610424534 / 666888000 / 6668880000,
German Hospital,German Hospital,,,https://www.facebook.com/ads/library/ad/?id=1358118226174905,+617983335 / +0612922240 / +612922245 / +252612922248,https://wa.me/252612922248
Socdaal Data Service,Socdaal Data Service,https://play.google.com/store/apps/details?id=com.adwaar.wadar.Socdaal,,https://www.facebook.com/ads/library/ad/?id=860922917088316,+31805880 / +618520051 / +8520051 / +860922917088316,
