Business Name, Page Name, Website URL, CTA, Ad Link, Phone Numbers, WhatsApp Links
Tayofix,Tayofix,,,https://www.facebook.com/ads/library/ad/?id=1882053335675959,,
Premier Bank,Premier Bank,,,https://www.facebook.com/ads/library/ad/?id=27124444470560507,,
Learn English: Somali Edition,Learn English: Somali Edition,,,https://www.facebook.com/ads/library/ad/?id=36410775431901156,,
Bulsho Development Bank,Bulsho Development Bank,,,https://www.facebook.com/ads/library/ad/?id=2069921627131471,,
Beecsan online,Beecsan online,https://beecsan-electronics.odoo.com,,https://www.facebook.com/ads/library/ad/?id=818494681009716,+252614408588 / +818494681009716,
Al jazeera Hotel Galkio,Al jazeera Hotel Galkio,,,https://www.facebook.com/ads/library/ad/?id=4374779816141102,,
Sagaljet Company,Sagaljet Company,,,https://www.facebook.com/ads/library/ad/?id=2492690981175682,,
Medicover Hospitals,Medicover Hospitals,,book now,https://www.facebook.com/ads/library/ad/?id=1776016416721978,,
Lamaane Hospital,Lamaane Hospital,,,https://www.facebook.com/ads/library/ad/?id=1702171110929609,+0615072984,
Soltelco,Soltelco,,,https://www.facebook.com/ads/library/ad/?id=1551918043203643,,
Modern Automotive Technology,Modern Automotive Technology,,learn more,https://www.facebook.com/ads/library/ad/?id=1549039536684735,+636390001,
Halab hospital,Halab hospital,,,https://www.facebook.com/ads/library/ad/?id=896629499473935,+252907857962 / +896629499473935,
Alwasiila Hospital,Alwasiila Hospital,,,https://www.facebook.com/ads/library/ad/?id=884119531413532,+0615468768 / +0625468768 / +884119531413532,
Mudnaan Data,Mudnaan Data,,,https://www.facebook.com/ads/library/ad/?id=997980836059551,+997980836059551,
Garweyne Hair Clinic,Garweyne Hair Clinic,,,https://www.facebook.com/ads/library/ad/?id=843334555253863,+252638861348 / +843334555253863,
Zirconia Dental Clinic,Zirconia Dental Clinic,,,https://www.facebook.com/ads/library/ad/?id=1627997414966183,+252638777111,
Towfiiq General Trading Company,Towfiiq General Trading Company,,contact us,https://www.facebook.com/ads/library/ad/?id=4363897263852997,+252907799978 / +252906503150 / +252907754595 / +252634129326 / +659255992 / +0905297488 / +0616431201 / +846617368167331,
Tayo Online Market,Tayo Online Market,,,https://www.facebook.com/ads/library/ad/?id=1331799102201828,+211924666306 / +252619558804,
Anfac online market,Anfac online market,,,https://www.facebook.com/ads/library/ad/?id=964565706624873,+617009520 / +964565706624873,
Riigso Online Shopping,Riigso Online Shopping,,,https://www.facebook.com/ads/library/ad/?id=1950432498971123,+0613020483,
Kaafiyeelectronics.com,Kaafiyeelectronics.com,http://www.kaafiyeelectronics.com,,https://www.facebook.com/ads/library/ad/?id=1544397577348513,+252634341054 / +252654341054 / +252634535023 / +252636009739,
Marwa fertility Centre -Garowe,Marwa fertility Centre -Garowe,,,https://www.facebook.com/ads/library/ad/?id=1735594680478517,+0906775757 / +0907938433,
Macruuf International College with Macruuf online academy,Macruuf International College with Macruuf online academy,,learn more,https://www.facebook.com/ads/library/ad/?id=1505872591012011,+252905555000 / +0907748488 / +0907324708,
Kaaftoon store,Kaaftoon store,,,https://www.facebook.com/ads/library/ad/?id=979535434791066,+3601030 / +0637751277 / +979535434791066,
Gurmad Business Group,Gurmad Business Group,,,https://www.facebook.com/ads/library/ad/?id=1019365897347360,+0619848163,
Bahnano Physiotherapy,Bahnano Physiotherapy,,,https://www.facebook.com/ads/library/ad/?id=1463082618924983,,
Kaah Dental Clinic,Kaah Dental Clinic,,,https://www.facebook.com/ads/library/ad/?id=4547810715432492,+905893297 / +906260033 / +633349699 / +0636949150 / +0672036969,
Hir Online Academy,Hir Online Academy,,,https://www.facebook.com/ads/library/ad/?id=2466432947120346,+252659255120,
Prime Hair And Skine Care,Prime Hair And Skine Care,,,https://www.facebook.com/ads/library/ad/?id=1343126173816475,+252634129326 / +659255992 / +0905297488 / +0616431201,
SODMA Academy,SODMA Academy,https://forms.gle/f4KbNnMxoHo6JKCx5,,https://www.facebook.com/ads/library/ad/?id=1334471295556036,+0615676707,
Beledi General Trading,Beledi General Trading,,contact us,https://www.facebook.com/ads/library/ad/?id=1496568242153025,+0638090350 / +0638090349 / +252638090350,
Takhtarka Beerka & Uur Ku Jirta Dr. Kadle,Takhtarka Beerka & Uur Ku Jirta Dr. Kadle,,,https://www.facebook.com/ads/library/ad/?id=1368382745214534,+252613333514,
Suurad Hospital,Suurad Hospital,,,https://www.facebook.com/ads/library/ad/?id=1375348750647536,,
The Epoch Confluence ll Isku-Tallaalka Xillayada,The Epoch Confluence ll Isku-Tallaalka Xillayada,,,https://www.facebook.com/ads/library/ad/?id=949421611194562,+949421611194562,
Daniyah Online Market,Daniyah Online Market,,,https://www.facebook.com/ads/library/ad/?id=1579278920419602,+672451528 / +0639202846 / +634547381,
Alamtara Online Technology,Alamtara Online Technology,,,https://www.facebook.com/ads/library/ad/?id=2068930257038576,+0613780404 / +613780404,
Softiweer Academy,Softiweer Academy,,,https://www.facebook.com/ads/library/ad/?id=1641304187421338,+252614886649 / +252614886667,
Nuur Real Estate Hargeisa,Nuur Real Estate Hargeisa,,,https://www.facebook.com/ads/library/ad/?id=4442205609342273,+0634420529 / +0634274000,
Mustaqbal Engineering CO.,Mustaqbal Engineering CO.,,,https://www.facebook.com/ads/library/ad/?id=1597090078651580,+252614446263,https://wa.me/252614446263
Rasmi Optical & Watch,Rasmi Optical & Watch,,,https://www.facebook.com/ads/library/ad/?id=1732425838180420,+0611162301 / +611162301 / +0617464881,
Tamaam Hospital,Tamaam Hospital,,,https://www.facebook.com/ads/library/ad/?id=1590644539450950,,
Libaas sports,Libaas sports,,,https://www.facebook.com/ads/library/ad/?id=27372070799101659,+615001396 / +627004324,
Baba Electronics,Baba Electronics,,,https://www.facebook.com/ads/library/ad/?id=2469532000185802,+611118097 / +43611118097,
Togdheer University,Togdheer University,https://docs.google.com/forms/d/e/1FAIpQLSfjJfGPXMOJdhfx9QfIwYeK2d76e88Gehwcn0Jo_iFeFdksVw/viewform,,https://www.facebook.com/ads/library/ad/?id=4557630324562322,+252672525151 / +252634753516 / +634753516 / +638116633 / +657773788 / +659303919,
Lucky Star Construction,Lucky Star Construction,,learn more,https://www.facebook.com/ads/library/ad/?id=4366880473533692,+00252634050563 / +634475434,
Heegan Smart Solutions,Heegan Smart Solutions,,,https://www.facebook.com/ads/library/ad/?id=999262872857549,+252619525202 / +999262872857549,
herbal supplements,herbal supplements,,,https://www.facebook.com/ads/library/ad/?id=906166808421295,+252615437686 / +906166808421295,
Rasmi Dental Clinic,Rasmi Dental Clinic,,,https://www.facebook.com/ads/library/ad/?id=1083929130630290,+634085166 / +252613222277 / +252613222288,
Royal Dental Care,Royal Dental Care,,,https://www.facebook.com/ads/library/ad/?id=1340990441493222,+252907518014 / +907518014 / +905910585,
dhaqaneonline1.com,dhaqaneonline1.com,,,https://www.facebook.com/ads/library/ad/?id=788368670612867,+252634070416 / +252654392704 / +252636009739 / +788368670612867,
Go Shop,Go Shop,https://wa.link/iq9ddq,,https://www.facebook.com/ads/library/ad/?id=1686607935881165,+1537696 / +252611537696 / +6589447587,
Vision Medical & Pathology Centre,Vision Medical & Pathology Centre,,,https://www.facebook.com/ads/library/ad/?id=1447108793891355,,
E-commerce Academy,E-commerce Academy,,,https://www.facebook.com/ads/library/ad/?id=1778136703155047,,
Degel Engineering and Real Estate,Degel Engineering and Real Estate,,,https://www.facebook.com/ads/library/ad/?id=1689675721958906,+634840848,
Samakaal Hospital,Samakaal Hospital,,,https://www.facebook.com/ads/library/ad/?id=1478928013639773,+617699929 / +610888017,
Orbit International College - Burao,Orbit International College - Burao,,,https://www.facebook.com/ads/library/ad/?id=1661526628407505,,
Isbitaalka Takhasusiga ee Somali Syrian,Isbitaalka Takhasusiga ee Somali Syrian,,,https://www.facebook.com/ads/library/ad/?id=5494994200725967,+612744001 / +612744002,
Barni Online Store,Barni Online Store,,,https://www.facebook.com/ads/library/ad/?id=1766234577847575,+634405603,
Prime online market,Prime online market,,,https://www.facebook.com/ads/library/ad/?id=867718776417169,+867718776417169,
Hage Tech Solution,Hage Tech Solution,,,https://www.facebook.com/ads/library/ad/?id=1377615510924622,+252637760444,
AZWA,AZWA,,,https://www.facebook.com/ads/library/ad/?id=1588716529636275,+252613780006,
MuuQsame Tech,MuuQsame Tech,,,https://www.facebook.com/ads/library/ad/?id=1374374727813365,+613693606,
Xadaara,Xadaara,,,https://www.facebook.com/ads/library/ad/?id=1005369689011293,+252905449988 / +252905449977,
Dhambaal Institute,Dhambaal Institute,https://forms.gle/nuDBhqSPD6UvDX4H9,,https://www.facebook.com/ads/library/ad/?id=1655617098832157,+619444614 / +610444744,
Asal Hair & Skin Clinic,Asal Hair & Skin Clinic,,,https://www.facebook.com/ads/library/ad/?id=1533597128174906,+252613336835,
Damal Electronics & Stationery Co.,Damal Electronics & Stationery Co.,,,https://www.facebook.com/ads/library/ad/?id=1626416301795329,+0615026888 / +0616007066,
Side Electronics,Side Electronics,,,https://www.facebook.com/ads/library/ad/?id=1516068989505338,+252615483142,https://wa.me/252615483142
Al-Mustaqbal Schools-Hargaysa,Al-Mustaqbal Schools-Hargaysa,,,https://www.facebook.com/ads/library/ad/?id=1752731642829562,+252637322220 / +252637322221,
Suhaib Al Arabi مدرب ومستشار تدريبي,Suhaib Al Arabi مدرب ومستشار تدريبي,,,https://www.facebook.com/ads/library/ad/?id=1861645304992958,+252612838341,
Safesom Collection Store,Safesom Collection Store,,,https://www.facebook.com/ads/library/ad/?id=28165329673073405,,
Al Khayr Islamic Online,Al Khayr Islamic Online,,,https://www.facebook.com/ads/library/ad/?id=903067978957126,+903067978957126,
Rijaal Hospital,Rijaal Hospital,,,https://www.facebook.com/ads/library/ad/?id=1390285342957549,+252612153175,
Kifaax Digital Service,Kifaax Digital Service,,,https://www.facebook.com/ads/library/ad/?id=1321880453482848,+252615261579,
MEGA POWER Energy Solutions,MEGA POWER Energy Solutions,,,https://www.facebook.com/ads/library/ad/?id=1332337441810845,+252614295050,
Master Electronics Somalia,Master Electronics Somalia,,,https://www.facebook.com/ads/library/ad/?id=1560027249065730,+252615791504 / +0770007773,
Safa Clinic,Safa Clinic,,,https://www.facebook.com/ads/library/ad/?id=1383909953588438,+252610830496 / +252619839295 / +252617940658,https://wa.me/252610830496 / https://wa.me/252619839295 / https://wa.me/252617940658
Elite Electronics,Elite Electronics,,,https://www.facebook.com/ads/library/ad/?id=2007985883256668,+616327600 / +633349699 / +0636949150 / +0672036969,
Zak Markets,Zak Markets,,,https://www.facebook.com/ads/library/ad/?id=3568500929964723,+617485968,
9 Store,9 Store,,,https://www.facebook.com/ads/library/ad/?id=979247901601313,+617480375 / +979247901601313,
Ogaal Technical Solutions,Ogaal Technical Solutions,,,https://www.facebook.com/ads/library/ad/?id=1042944521719284,,
Kasmo Business Group,Kasmo Business Group,,,https://www.facebook.com/ads/library/ad/?id=931294453025522,+252616100622 / +931294453025522,
Al-Hayatt Hospital Borama Teaching Hospital of Amoud University,Al-Hayatt Hospital Borama Teaching Hospital of Amoud University,,contact us,https://www.facebook.com/ads/library/ad/?id=1297757015772766,+0634526710 / +0638999911,
Horyaal Innovation Institute,Horyaal Innovation Institute,,,https://www.facebook.com/ads/library/ad/?id=2037124690219583,,
Beecbile Online Store,Beecbile Online Store,,,https://www.facebook.com/ads/library/ad/?id=4626528780925031,+614444344,
Nova Style,Nova Style,,,https://www.facebook.com/ads/library/ad/?id=1313148840988129,,
Koboc Online,Koboc Online,,,https://www.facebook.com/ads/library/ad/?id=1368731788459284,+252634129326 / +659255992 / +0905297488 / +0616431201,
CARWO Golden,CARWO Golden,,,https://www.facebook.com/ads/library/ad/?id=1533458498279148,+252634075993 / +252636387999 / +634075993 / +0657500154,
Anfac Online Academy-English,Anfac Online Academy-English,,,https://www.facebook.com/ads/library/ad/?id=1519006319172968,+0634832282,
Kelyo-Bile Hospital,Kelyo-Bile Hospital,,,https://www.facebook.com/ads/library/ad/?id=1743510846801861,,
Hafun Marketing A,Hafun Marketing A,,learn more,https://www.facebook.com/ads/library/ad/?id=1316951587151212,,
Askar Money Exchange,Askar Money Exchange,,,https://www.facebook.com/ads/library/ad/?id=1039504842148474,+636444473,
BarakaLife Pharmaceuticals,BarakaLife Pharmaceuticals,,,https://www.facebook.com/ads/library/ad/?id=1042168265057209,,
Badar online market,Badar online market,,,https://www.facebook.com/ads/library/ad/?id=2366676603856840,+0611333352 / +252611333352,
Ciiltire Markets,Ciiltire Markets,,,https://www.facebook.com/ads/library/ad/?id=1596736225225631,+613990985 / +0613990985 / +0623990985,
Barako hypermarket,Barako hypermarket,,,https://www.facebook.com/ads/library/ad/?id=1509117360361446,,
SLC - Smart Language College,SLC - Smart Language College,,,https://www.facebook.com/ads/library/ad/?id=1054383003707096,,
Nova Interior Design,Nova Interior Design,,,https://www.facebook.com/ads/library/ad/?id=1578903623654184,,
Zayid Tailor,Zayid Tailor,,,https://www.facebook.com/ads/library/ad/?id=1571416757677155,+0637540202,
Dr.Najib mohamed salad,Dr.Najib mohamed salad,,,https://www.facebook.com/ads/library/ad/?id=1409354954580627,,
Anfac Online Academy,Anfac Online Academy,,,https://www.facebook.com/ads/library/ad/?id=1664566954600637,,
Easy Buy Somaliland,Easy Buy Somaliland,,learn more,https://www.facebook.com/ads/library/ad/?id=1009508041787617,+251971729727,
Guri Bila Finishing and Building Supply,Guri Bila Finishing and Building Supply,,contact us,https://www.facebook.com/ads/library/ad/?id=1574313807381590,+0638881671 / +0638881672,
Prime Studio,Prime Studio,,,https://www.facebook.com/ads/library/ad/?id=1921014799285879,+619232549,
Riyaad Hospital,Riyaad Hospital,,,https://www.facebook.com/ads/library/ad/?id=1349730823919728,+252618377744 / +252611482255,
Dhisma kaab,Dhisma kaab,,,https://www.facebook.com/ads/library/ad/?id=1047266967757599,,
Al Nuur Islamic Online,Al Nuur Islamic Online,,,https://www.facebook.com/ads/library/ad/?id=2554080328381435,,
Shaafi Hospital,Shaafi Hospital,,,https://www.facebook.com/ads/library/ad/?id=1027736556486937,,
Faaruuq specialist hospital,Faaruuq specialist hospital,,,https://www.facebook.com/ads/library/ad/?id=27537114505899363,,
Markisu Caafiyah Herbal Medicine,Markisu Caafiyah Herbal Medicine,,,https://www.facebook.com/ads/library/ad/?id=1069757052052271,,
Abdirahman Bulshaawi,Abdirahman Bulshaawi,,,https://www.facebook.com/ads/library/ad/?id=1056270497084863,+0907750124 / +0904151314,
MadarTech Online,MadarTech Online,,,https://www.facebook.com/ads/library/ad/?id=1323181396640376,,
Samawade Machines,Samawade Machines,,,https://www.facebook.com/ads/library/ad/?id=991342523683077,+618658485 / +991342523683077 / +893642133786466,
Heeylan Online,Heeylan Online,,,https://www.facebook.com/ads/library/ad/?id=1717298502638684,+0619940643,
Miig Solution,Miig Solution,,,https://www.facebook.com/ads/library/ad/?id=1340481898215532,,
Sahan Electronics,Sahan Electronics,,,https://www.facebook.com/ads/library/ad/?id=954341417635856,+550617454936 / +954341417635856,
Halbeeg TVET Center,Halbeeg TVET Center,,,https://www.facebook.com/ads/library/ad/?id=1944343186346716,+0658001554 / +0658003552,
Dr.Mustafa Awmusse,Dr.Mustafa Awmusse,,,https://www.facebook.com/ads/library/ad/?id=2379019799254494,,
Qani Media Agency,Qani Media Agency,,,https://www.facebook.com/ads/library/ad/?id=1560698622255874,,
Mudug Regional Hospital,Mudug Regional Hospital,,,https://www.facebook.com/ads/library/ad/?id=1574902230739474,+252907795675,
Kaabsan Real Estate,Kaabsan Real Estate,,,https://www.facebook.com/ads/library/ad/?id=1524647712538702,+252636100091 / +252636100150,
Somali Technology Creators,Somali Technology Creators,https://forms.gle/ZYBPMiSbB9CNDhYn8,,https://www.facebook.com/ads/library/ad/?id=1609566387840818,+252615988305 / +252618230044,
Kab Store,Kab Store,,,https://www.facebook.com/ads/library/ad/?id=1497042215483234,+614888969,
Omar Abdi,Omar Abdi,,,https://www.facebook.com/ads/library/ad/?id=1574919597746669,+25377342361,
Bullaal Institute of Languages,Bullaal Institute of Languages,,,https://www.facebook.com/ads/library/ad/?id=1400703648782487,,
MDS Fashion,MDS Fashion,,,https://www.facebook.com/ads/library/ad/?id=27802522236101740,,
Syl General Hospital,Syl General Hospital,,,https://www.facebook.com/ads/library/ad/?id=1577895374127155,,
Iftin online shopping,Iftin online shopping,,,https://www.facebook.com/ads/library/ad/?id=1657736375304955,+0634124981 / +634124981,
Marwa Fertility Center,Marwa Fertility Center,,,https://www.facebook.com/ads/library/ad/?id=1714081563052223,+0611221111 / +0611222111,
Xalsan Best Control,Xalsan Best Control,,,https://www.facebook.com/ads/library/ad/?id=2386580355199293,+0615104268,
Daryeel Medical Equipment,Daryeel Medical Equipment,,,https://www.facebook.com/ads/library/ad/?id=2068741950345448,+614144778,
Somaliland Maarif Schools,Somaliland Maarif Schools,https://forms.gle/MzWyftxcDyAr7zzu6,sign up,https://www.facebook.com/ads/library/ad/?id=1669166008036491,+20262027 / +252636514433 / +0615104268,
Koobe Integrated Solutions,Koobe Integrated Solutions,,,https://www.facebook.com/ads/library/ad/?id=986023331142314,+986023331142314,
