Business Name, Page Name, Website URL, CTA, Ad Link, Phone Numbers, WhatsApp Links
Dhaqtarka Lafaha Xamar Hospital,Dhaqtarka Lafaha Xamar Hospital,,,https://www.facebook.com/ads/library/ad/?id=1807423856610180,+0615740537,
Beeciye Online Market,Beeciye Online Market,,,https://www.facebook.com/ads/library/ad/?id=1745831319450277,+0615829705 / +615829705,
Byruun shoes,Byruun shoes,https://instagram.com/byruunshoes?igshid=OGQ5ZDc2ODk2ZA%3D%3D&utm_source=qr,,https://www.facebook.com/ads/library/ad/?id=1029911532905483,+619956836 / +252619956836 / +0619956836,https://wa.me/252619956836
Hooyo Macaan,Hooyo Macaan,,,https://www.facebook.com/ads/library/ad/?id=958260047268635,+490615740548 / +958260047268635,
Somaliweyn Hospital,Somaliweyn Hospital,,,https://www.facebook.com/ads/library/ad/?id=911083622017819,+0615184387 / +911083622017819,
Cambridge International School Mogadishu,Cambridge International School Mogadishu,,,https://www.facebook.com/ads/library/ad/?id=962313893043979,+962313893043979,
Dhaqtarka Ragga Xamar Hospital,Dhaqtarka Ragga Xamar Hospital,,,https://www.facebook.com/ads/library/ad/?id=1776016416721978,+0615740548,
Lamaane Hospital,Lamaane Hospital,,,https://www.facebook.com/ads/library/ad/?id=894985889936793,+0615072984 / +894985889936793,
Luna Beauty and Spa,Luna Beauty and Spa,,,https://www.facebook.com/ads/library/ad/?id=1701214637808235,+0613022279,
Asal Microfinance,Asal Microfinance,,,https://www.facebook.com/ads/library/ad/?id=1328749225393562,,
Albirri Hospital,Albirri Hospital,,,https://www.facebook.com/ads/library/ad/?id=841317042032519,+841317042032519,
Raasimaal Diaspora,Raasimaal Diaspora,,,https://www.facebook.com/ads/library/ad/?id=1906020010023521,+0612922246 / +612922243 / +252612922248,https://wa.me/252612922248
Gashaanti beauty and spa,Gashaanti beauty and spa,,,https://www.facebook.com/ads/library/ad/?id=2164918021040632,,
Xaqsoor online market,Xaqsoor online market,,,https://www.facebook.com/ads/library/ad/?id=26947786238165771,+0613562887,
Tayo Online Store,Tayo Online Store,,,https://www.facebook.com/ads/library/ad/?id=1337385467799946,+211924666306,https://wa.me/211924666306
Bulsho Discount Travel Agency,Bulsho Discount Travel Agency,https://bulshodiscounttravel.com,,https://www.facebook.com/ads/library/ad/?id=882834244373067,+252610424533 / +252610424534 / +882834244373067 / 666888000 / 6668880000,
Danjire Travel & News,Danjire Travel & News,,,https://www.facebook.com/ads/library/ad/?id=4596560527250952,+614909044,
