Business Name, Page Name, Website URL, CTA, Ad Link, Phone Numbers, WhatsApp Links
Health Solutions,Health Solutions,,,https://www.facebook.com/ads/library/ad/?id=1330587518895266,+0614724520 / +0610997182 / +0618357083 / +0770783967 / +252610997182 / +252614724520,https://wa.me/252610997182 / https://wa.me/252614724520
Beeciye Online Market,Beeciye Online Market,,,https://www.facebook.com/ads/library/ad/?id=1316889183184235,+0615829705 / +615829705,
Caller 2901,Caller 2901,,,https://www.facebook.com/ads/library/ad/?id=1054292100456531,+980532107906409,
Callerid2,Callerid2,,,https://www.facebook.com/ads/library/ad/?id=1456135739866020,,
WithSpout,WithSpout,,,https://www.facebook.com/ads/library/ad/?id=1546450973782328,,
Suuq-Belo online market,Suuq-Belo online market,,,https://www.facebook.com/ads/library/ad/?id=27516297838058029,+617959075 / +0617959075,
Biblword,Biblword,,sign up,https://www.facebook.com/ads/library/ad/?id=1003619085608701,,
Libaax Motorcycle & Spare Parts,Libaax Motorcycle & Spare Parts,,,https://www.facebook.com/ads/library/ad/?id=856701204161988,+856701204161988,
Al-Nuur Hospital Qardho,Al-Nuur Hospital Qardho,,,https://www.facebook.com/ads/library/ad/?id=1492746479267400,,
Hante Online Market,Hante Online Market,,,https://www.facebook.com/ads/library/ad/?id=2201199260422413,+252634029456 / +252638888845 / +659144070,
AF-bille Dental care,AF-bille Dental care,,,https://www.facebook.com/ads/library/ad/?id=1369627221804777,+0634235168 / +0638222293,
Sahan Market,Sahan Market,,,https://www.facebook.com/ads/library/ad/?id=1000940636036924,+0619710640,
Al-Muniir Online Academy,Al-Muniir Online Academy,,,https://www.facebook.com/ads/library/ad/?id=27362469610077854,,
German Hospital,German Hospital,,,https://www.facebook.com/ads/library/ad/?id=1017816983954033,+252617983335,
Vision Medical & Pathology Centre,Vision Medical & Pathology Centre,,,https://www.facebook.com/ads/library/ad/?id=1557519719372733,,
Wasaaradda Caafimaadka Puntland,Wasaaradda Caafimaadka Puntland,,,https://www.facebook.com/ads/library/ad/?id=1289262559698107,,
Africa Humanitarian Institute,Africa Humanitarian Institute,,,https://www.facebook.com/ads/library/ad/?id=1030784449814199,+252634124865,
Barqo Library,Barqo Library,,,https://www.facebook.com/ads/library/ad/?id=1447108793891355,+637727628,
E-commerce Academy,E-commerce Academy,,,https://www.facebook.com/ads/library/ad/?id=1702309394223291,,
Kediye Livestock,Kediye Livestock,,,https://www.facebook.com/ads/library/ad/?id=1678671980083946,,
